,name,text,top3_description,top3_description_scibert
0,0c86c39dcd9e08c6.json,Project_CP,"[750, 423, 772]","[57, 350, 423]"
1,692a2b0bb818336d.json,"Workflow constructed from history 'K22063917 Assignment attempt FINAL - using wANNOVAR' annotation.bed Input dataset NGS0001.R1.fastq.qz Input dataset NGS0001.R2.fastq.qz Input dataset query.output.exome_summary 5th attempt.txt Input dataset FastQC html_file text_file fastqc FastQC html_file text_file fastqc Trimmomatic fastq_out_r1_paired fastq_out_r2_paired fastq_out_r1_unpaired fastq_out_r2_unpaired trimmomatic Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 Filter out_file1 FastQC html_file text_file fastqc FastQC html_file text_file fastqc Map with BWA-MEM bam_output bwa MarkDuplicates metrics_file outFile picard Filter SAM or BAM, output SAM or BAM output1 samtool_filter2 Flagstat output1 samtools_flagstat Flagstat output1 samtools_flagstat BAM-to-SAM output1 bam_to_sam IdxStats output samtools_idxstats CollectInsertSizeMetrics outFile histFile picard Compute both the depth and breadth of coverage output bedtools FreeBayes output_vcf freebayes Sort out_file1 VCFfilter: out_file1 vcffilter VCFfilter: out_file1 vcffilter VCFfilter: out_file1 vcffilter bcftools stats output_file bcftools_stats Summary Statistics out_file1 annotation.bed NGS0001.R1.fastq.qz NGS0001.R2.fastq.qz query.output.exome_summary 5th attempt.txt","[610, 29, 726]","[610, 29, 726]"
2,3680984663c813e1.json,dhfr Bowtie2 output bowtie2 MPileup output_mpileup output_log samtools_mpileup,"[570, 90, 238]","[570, 90, 482]"
3,49f8b32c3206f76c.json,Workflow for Genomic Data Science with Galaxy 'peer-reviewed project' Daughter R2 fastq Input dataset Daughter R1 fastq Input dataset Mother R2 fastq Input dataset Mother R1 fastq Input dataset Father R2 fastq Input dataset Father R1 fastq Input dataset FastQC html_file text_file fastqc FastQC html_file text_file fastqc Map with BWA-MEM bam_output bwa FastQC html_file text_file fastqc Map with BWA bam_output bwa FastQC html_file text_file fastqc FastQC html_file text_file fastqc Map with BWA-MEM bam_output bwa FastQC html_file text_file fastqc AddOrReplaceReadGroups outFile picard AddOrReplaceReadGroups outFile picard AddOrReplaceReadGroups outFile picard toolshed.g2.bx.psu.edu/repos/devteam/sam_merge/sam_merge2/1.2.0 Filter out_file2 out_file1 bamtools_filter MarkDuplicates metrics_file outFile picard CleanSam outFile picard FreeBayes output_vcf freebayes VCFfilter: out_file1 vcffilter ANNOVAR Annotate VCF output table_annovar Remove beginning out_file1 Group out_file1 Sort out_file1 variant snps human Daughter R2 fastq Daughter R1 fastq Mother R2 fastq Mother R1 fastq Father R2 fastq Father R1 fastq filter SNPs,"[72, 907, 328]","[868, 674, 255]"
4,25adc55d2a26e34b.json,"GigaScience Example 1B -- aye-aye FST (imported from uploaded file) aye-aye SNPs Input dataset human SNPs, like aye-aye Input dataset Specify Individuals output genome_diversity Specify Individuals output genome_diversity Filter SNPs output genome_diversity Filter SNPs output genome_diversity Specify Individuals output genome_diversity Specify Individuals output genome_diversity Specify Individuals output genome_diversity Specify Individuals output genome_diversity Per-SNP FSTs output genome_diversity Overall FST output genome_diversity Per-SNP FSTs output genome_diversity Overall FST output genome_diversity Histogram out_file1 histogram Histogram out_file1 histogram","[623, 120, 143]","[143, 120, 623]"
5,ab23c641cfdefe0c.json,Test workflow 1 Input dataset FASTQ Summary Statistics output_file fastq_stats Map with Bowtie for Illumina output mapping_stats bowtie_wrappers solid_qual_boxplot Boxplot output_file SAM-to-BAM output1 sam_to_bam,"[61, 361, 766]","[278, 818, 129]"
6,c4ff30a7e517e953.json,Chip-Seq workflow,"[714, 782, 394]","[714, 750, 82]"
7,399b4543d26990f2.json,Coursera3 Input Dataset Input dataset Input Dataset Input dataset Input Dataset Input dataset Input Dataset Input dataset Input Dataset Input dataset Input Dataset Input dataset input_file FASTQ Groomer output_file fastq_groomer input_file FASTQ Groomer output_file fastq_groomer input_file FASTQ Groomer output_file fastq_groomer input_file FASTQ Groomer output_file fastq_groomer input_file FASTQ Groomer output_file fastq_groomer input_file FASTQ Groomer output_file fastq_groomer library library Bowtie2 output bowtie2 library library Bowtie2 output bowtie2 library library Bowtie2 output bowtie2 inputFile AddOrReplaceReadGroups outFile picard inputFile AddOrReplaceReadGroups outFile picard inputFile AddOrReplaceReadGroups outFile picard inputFile MergeSamFiles outFile picard FreeBayes output_vcf freebayes input1 VCFfilter: out_file1 vcffilter input ANNOVAR Annotate VCF output table_annovar input1 VCFfilter: out_file1 vcffilter input1 VCFfilter: out_file1 vcffilter input1 VCFfilter: out_file1 vcffilter input1 VCFfilter: out_file1 vcffilter input1 Group out_file1 input Sort out_file1 runtime parameter for tool FASTQ Groomer runtime parameter for tool FASTQ Groomer runtime parameter for tool FASTQ Groomer runtime parameter for tool FASTQ Groomer runtime parameter for tool FASTQ Groomer runtime parameter for tool FASTQ Groomer runtime parameter for tool Bowtie2 runtime parameter for tool Bowtie2 runtime parameter for tool Bowtie2 runtime parameter for tool Bowtie2 runtime parameter for tool Bowtie2 runtime parameter for tool Bowtie2 runtime parameter for tool AddOrReplaceReadGroups runtime parameter for tool AddOrReplaceReadGroups runtime parameter for tool AddOrReplaceReadGroups runtime parameter for tool MergeSamFiles runtime parameter for tool VCFfilter: runtime parameter for tool ANNOVAR Annotate VCF runtime parameter for tool VCFfilter: runtime parameter for tool VCFfilter: runtime parameter for tool VCFfilter: runtime parameter for tool VCFfilter: runtime parameter for tool Group runtime parameter for tool Sort,"[454, 839, 802]","[454, 584, 261]"
8,f3c8093c5b8a7233.json,Lucille Delisle RNAseq_PE (release v0.1) PE fastq input Input dataset collection forward_adapter Input parameter reverse_adapter Input parameter reference_genome Input parameter gtf Input dataset strandness Input parameter gtf with regions to exclude from FPKM normalization Input dataset Cutadapt out_pairs report cutadapt Compose text parameter value out1 compose_text_param Map parameter value output_param_text map_param_value Map parameter value output_param_text map_param_value Map parameter value output_param_text map_param_value Map parameter value output_param_text map_param_value RNA STAR output_log splice_junctions mapped_reads reads_per_gene rgrnastar MultiQC stats plots html_report multiqc Text reformatting outfile text_processing Filter out_file2 out_file1 bamtools_filter Text reformatting outfile text_processing Cufflinks genes_expression transcripts_expression assembled_isoforms total_map_mass skipped cufflinks input revertR2orientationInBam output revertr2orientationinbam Parse parameter value float_param bedtools Genome Coverage output bedtools bedtools Genome Coverage output bedtools bedtools Genome Coverage output bedtools Wig/BedGraph-to-bigWig out_file1 Wig/BedGraph-to-bigWig out_file1 Wig/BedGraph-to-bigWig out_file1 RNAseq runtime parameter for tool revertR2orientationInBam PE fastq input forward_adapter reverse_adapter reference_genome gtf strandness gtf with regions to exclude from FPKM normalization Cutadapt (remove adapter + bad quality bases) get reference_genome as text parameter awk command from strand bedtools orientation for forward coverage bedtools orientation for reverse coverage Get cufflinks strandess parameter STAR: map and count output_log reads_per_gene from STAR mapped-reads MultiQC MultiQC on input dataset(s): Stats MultiQC webpage Extract gene counts HTS count like output Keep only uniquely mapped reads get scaling factor Compute FPKM transcripts_expression genes_expression convert dataset to parameter Scaled Coverage both strands combined Scaled Coverage positive Scaled Coverage negative convert both strands coverage to bigwig both strands coverage convert positive coverage to bigwig positive strand coverage convert negative coverage to bigwig negative strand coverage,"[271, 179, 93]","[93, 179, 271]"
9,9a1fb6ecff886358.json,Unnamed workflow Input dataset collection Input dataset input_file FASTQ Groomer output_file fastq_groomer input_file FASTQ Trimmer output_file fastq_trimmer library Pear assembled_reads pear input_file FASTQ Groomer output_file fastq_groomer input_file FASTQ Groomer output_file fastq_groomer input_file FASTQ Groomer output_file fastq_groomer input Remove sequencing artifacts output fastx_artifacts_filter input Remove sequencing artifacts output fastx_artifacts_filter input Remove sequencing artifacts output fastx_artifacts_filter input Filter by quality output fastq_quality_filter input Filter by quality output fastq_quality_filter input Filter by quality output fastq_quality_filter input FASTQ to FASTA output fastq_to_fasta FastQC html_file text_file fastqc input FASTQ to FASTA output fastq_to_fasta FastQC html_file text_file fastqc input FASTQ to FASTA output fastq_to_fasta FastQC html_file text_file fastqc runtime parameter for tool FASTQ Groomer runtime parameter for tool FASTQ Trimmer runtime parameter for tool Pear runtime parameter for tool FASTQ Groomer runtime parameter for tool FASTQ Groomer runtime parameter for tool FASTQ Groomer runtime parameter for tool Remove sequencing artifacts runtime parameter for tool Remove sequencing artifacts runtime parameter for tool Remove sequencing artifacts runtime parameter for tool Filter by quality runtime parameter for tool Filter by quality runtime parameter for tool Filter by quality runtime parameter for tool FASTQ to FASTA runtime parameter for tool FASTQ to FASTA runtime parameter for tool FASTQ to FASTA,"[679, 743, 587]","[587, 679, 603]"
