,index,Tags,text,top3_topic_bert,top3_topic,top3_topic_bert_str,top3_descricao,top3_tags_descricao,mean_similarity_top3_descricao,top4_topic_bert,top4_topic,top4_topic_bert_str,top4_descricao,top4_tags_descricao,mean_similarity_top4_descricao,top5_topic_bert,top5_topic,top5_topic_bert_str,top5_descricao,top5_tags_descricao,mean_similarity_top5_descricao,top6_topic_bert,top6_topic,top6_topic_bert_str,top6_descricao,top6_tags_descricao,mean_similarity_top6_descricao,top7_topic_bert,top7_topic,top7_topic_bert_str,top7_descricao,top7_tags_descricao,mean_similarity_top7_descricao,top8_topic_bert,top8_topic,top8_topic_bert_str,top8_descricao,top8_tags_descricao,mean_similarity_top8_descricao
0,0c86c39dcd9e08c6.json,[],['Project_CP'],['Project_CP'],,Project_CP,"[129, 497, 142]","[[], ['Genome'], ['rna', 'seq', 'sam', 'paired', 'unique']]",0.89206153,['Project_CP'],,Project_CP,"[239, 766, 357, 142]","[[], [], [], ['rna', 'seq', 'sam', 'paired', 'unique']]",0.9000014,['Project_CP'],,Project_CP,"[370, 338, 494, 95, 283]","[[], [], [], [], ['name:suhasini']]",0.9145244,['Project_CP'],,Project_CP,"[311, 276, 497, 285, 500, 780]","[[], [], ['Genome'], [], [], []]",0.90821177,['Project_CP'],,Project_CP,"[311, 256, 575, 388, 40, 60, 77]","[[], [], [], ['TnSeq', 'WilsonLab'], [], [], ['sequence-analysis']]",0.89738125,['Project_CP'],,Project_CP,"[497, 331, 44, 705, 142, 194, 358, 445]","[['Genome'], ['name:test'], [], [], ['rna', 'seq', 'sam', 'paired', 'unique'], [], [], []]",0.8906085
1,692a2b0bb818336d.json,[],"[""Workflow constructed from history 'K22063917 Assignment attempt FINAL - using wANNOVAR'"", 'annotation.bed', 'Input dataset', 'NGS0001.R1.fastq.qz', 'Input dataset', 'NGS0001.R2.fastq.qz', 'Input dataset', 'query.output.exome_summary 5th attempt.txt', 'Input dataset', 'FastQC', 'html_file', 'text_file', 'fastqc', 'FastQC', 'html_file', 'text_file', 'fastqc', 'Trimmomatic', 'fastq_out_r1_paired', 'fastq_out_r2_paired', 'fastq_out_r1_unpaired', 'fastq_out_r2_unpaired', 'trimmomatic', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'FastQC', 'html_file', 'text_file', 'fastqc', 'FastQC', 'html_file', 'text_file', 'fastqc', 'Map with BWA-MEM', 'bam_output', 'bwa', 'MarkDuplicates', 'metrics_file', 'outFile', 'picard', 'Filter SAM or BAM, output SAM or BAM', 'output1', 'samtool_filter2', 'Flagstat', 'output1', 'samtools_flagstat', 'Flagstat', 'output1', 'samtools_flagstat', 'BAM-to-SAM', 'output1', 'bam_to_sam', 'IdxStats', 'output', 'samtools_idxstats', 'CollectInsertSizeMetrics', 'outFile', 'histFile', 'picard', 'Compute both the depth and breadth of coverage', 'output', 'bedtools', 'FreeBayes', 'output_vcf', 'freebayes', 'Sort', 'out_file1', 'VCFfilter:', 'out_file1', 'vcffilter', 'VCFfilter:', 'out_file1', 'vcffilter', 'VCFfilter:', 'out_file1', 'vcffilter', 'bcftools stats', 'output_file', 'bcftools_stats', 'Summary Statistics', 'out_file1', 'annotation.bed', 'NGS0001.R1.fastq.qz', 'NGS0001.R2.fastq.qz', 'query.output.exome_summary 5th attempt.txt']","['txt', 'query', 'exome_summary', '5th', 'attempt', 'output', 'samtool_filter2', 'output_vcf', 'idxstats', '']",-1,txt query exome_summary 5th attempt output samtool_filter2 output_vcf idxstats ,"[726, 897, 571]","[[], [], []]",0.9518314,"['the', 'samtool_filter2', 'output_vcf', 'of', 'idxstats', 'depth', 'coverage', 'compute', 'breadth', 'both']",-1,the samtool_filter2 output_vcf of idxstats depth coverage compute breadth both,"[425, 469, 905, 574]","[[], [], [], []]",0.9432302,"['samtool_filter2', 'output_vcf', 'idxstats', '', '', '', '', '', '', '']",-1,samtool_filter2 output_vcf idxstats       ,"[29, 30, 868, 419, 875]","[[], [], [], [], []]",0.933699,"['output_vcf', 'idxstats', '', '', '', '', '', '', '', '']",-1,output_vcf idxstats        ,"[571, 268, 522, 965, 173, 410]","[[], [], [], [], [], []]",0.9042724,"['attempt', '5th', 'txt', 'query', 'exome_summary', 'output', 'final', 'history', 'wannovar', 'using']",-1,attempt 5th txt query exome_summary output final history wannovar using,"[726, 490, 29, 253, 1003, 268, 833]","[[], [], [], [], [], [], []]",0.92321485,"['compute', 'and', 'coverage', 'constructed', 'from', 'breadth', 'both', 'workflow', 'assignment', 'history']",-1,compute and coverage constructed from breadth both workflow assignment history,"[254, 260, 307, 650, 531, 511, 543, 208]","[[], [], [], [], [], [], [], []]",0.84686637
2,3680984663c813e1.json,[],"['dhfr', 'Bowtie2', 'output', 'bowtie2', 'MPileup', 'output_mpileup', 'output_log', 'samtools_mpileup']","['dhfr', 'Bowtie2', 'output', 'bowtie2', 'MPileup', 'output_mpileup', 'output_log', 'samtools_mpileup']",,dhfr Bowtie2 output bowtie2 MPileup output_mpileup output_log samtools_mpileup,"[471, 804, 482]","[[], [], []]",0.9311382,"['dhfr', 'Bowtie2', 'output', 'bowtie2', 'MPileup', 'output_mpileup', 'output_log', 'samtools_mpileup']",,dhfr Bowtie2 output bowtie2 MPileup output_mpileup output_log samtools_mpileup,"[482, 7, 835, 975]","[[], [], [], []]",0.9113028,"['dhfr', 'Bowtie2', 'output', 'bowtie2', 'MPileup', 'output_mpileup', 'output_log', 'samtools_mpileup']",,dhfr Bowtie2 output bowtie2 MPileup output_mpileup output_log samtools_mpileup,"[471, 482, 238, 804, 835]","[[], [], [], [], []]",0.919947,"['dhfr', 'Bowtie2', 'output', 'bowtie2', 'MPileup', 'output_mpileup', 'output_log', 'samtools_mpileup']",,dhfr Bowtie2 output bowtie2 MPileup output_mpileup output_log samtools_mpileup,"[217, 482, 238, 224, 835, 975]","[[], [], [], [], [], []]",0.91684955,"['dhfr', 'Bowtie2', 'output', 'bowtie2', 'MPileup', 'output_mpileup', 'output_log', 'samtools_mpileup']",,dhfr Bowtie2 output bowtie2 MPileup output_mpileup output_log samtools_mpileup,"[482, 835, 975, 695, 519, 217, 934]","[[], [], [], [], [], [], ['mpvx', 'generic']]",0.90662193,"['dhfr', 'Bowtie2', 'output', 'bowtie2', 'MPileup', 'output_mpileup', 'output_log', 'samtools_mpileup']",,dhfr Bowtie2 output bowtie2 MPileup output_mpileup output_log samtools_mpileup,"[471, 482, 804, 835, 975, 559, 695, 934]","[[], [], [], [], [], [], [], ['mpvx', 'generic']]",0.9116674
3,49f8b32c3206f76c.json,"['variant', 'snps', 'human']","[""Workflow for Genomic Data Science with Galaxy 'peer-reviewed project'"", 'Daughter R2 fastq', 'Input dataset', 'Daughter R1 fastq', 'Input dataset', 'Mother R2 fastq', 'Input dataset', 'Mother R1 fastq', 'Input dataset', 'Father R2 fastq', 'Input dataset', 'Father R1 fastq', 'Input dataset', 'FastQC', 'html_file', 'text_file', 'fastqc', 'FastQC', 'html_file', 'text_file', 'fastqc', 'Map with BWA-MEM', 'bam_output', 'bwa', 'FastQC', 'html_file', 'text_file', 'fastqc', 'Map with BWA', 'bam_output', 'bwa', 'FastQC', 'html_file', 'text_file', 'fastqc', 'FastQC', 'html_file', 'text_file', 'fastqc', 'Map with BWA-MEM', 'bam_output', 'bwa', 'FastQC', 'html_file', 'text_file', 'fastqc', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'toolshed.g2.bx.psu.edu/repos/devteam/sam_merge/sam_merge2/1.2.0', 'Filter', 'out_file2', 'out_file1', 'bamtools_filter', 'MarkDuplicates', 'metrics_file', 'outFile', 'picard', 'CleanSam', 'outFile', 'picard', 'FreeBayes', 'output_vcf', 'freebayes', 'VCFfilter:', 'out_file1', 'vcffilter', 'ANNOVAR Annotate VCF', 'output', 'table_annovar', 'Remove beginning', 'out_file1', 'Group', 'out_file1', 'Sort', 'out_file1', 'variant', 'snps', 'human', 'Daughter R2 fastq', 'Daughter R1 fastq', 'Mother R2 fastq', 'Mother R1 fastq', 'Father R2 fastq', 'Father R1 fastq', 'filter SNPs']","['snps', 'mother', 'r1', 'bx', 'devteam', 'table_annovar', 'sam_merge2', 'sam_merge', 'repos', 'psu']",-1,snps mother r1 bx devteam table_annovar sam_merge2 sam_merge repos psu,"[960, 395, 154]","[[], [], []]",0.90458965,"['mother', 'fastqc', 'fastq', 'r1', 'bx', 'project', 'toolshed', 'table_annovar', 'science', 'sam_merge2']",-1,mother fastqc fastq r1 bx project toolshed table_annovar science sam_merge2,"[174, 381, 1008, 564]","[['NEBNext'], [], [], ['MinION', 'Nanopore']]",0.92013735,"['table_annovar', 'snps', 'filter', '', '', '', '', '', '', '']",-1,table_annovar snps filter       ,"[462, 356, 425, 706, 691]","[[], [], [], [], []]",0.8551556,"['galaxy', 'sam_merge', 'repos', 'psu', 'project', 'peer', 'genomic', 'sam_merge2', 'g2', 'for']",-1,galaxy sam_merge repos psu project peer genomic sam_merge2 g2 for,"[407, 74, 419, 420, 722, 110]","[['COVID-19', 'covid19.galaxyproject.org'], [], [], [], [], ['assembly', 'pe', 'unicycler', 'wgs']]",0.8755526,"['mother', 'r1', 'fastq', 'snps', 'filter', '', '', '', '', '']",-1,mother r1 fastq snps filter     ,"[966, 419, 582, 4, 833, 759, 796]","[[], [], [], [], [], [], []]",0.81898683,"['filter', 'toolshed', 'table_annovar', 'sam_merge2', 'sam_merge', 'repos', 'psu', 'output', 'g2', 'edu']",-1,filter toolshed table_annovar sam_merge2 sam_merge repos psu output g2 edu,"[114, 492, 380, 33, 46, 954, 835, 72]","[[], [], [], [], [], ['SELEX', 'aptamer'], [], []]",0.9106002
4,25adc55d2a26e34b.json,[],"['GigaScience Example 1B -- aye-aye FST (imported from uploaded file)', 'aye-aye SNPs', 'Input dataset', 'human SNPs, like aye-aye', 'Input dataset', 'Specify Individuals', 'output', 'genome_diversity', 'Specify Individuals', 'output', 'genome_diversity', 'Filter SNPs', 'output', 'genome_diversity', 'Filter SNPs', 'output', 'genome_diversity', 'Specify Individuals', 'output', 'genome_diversity', 'Specify Individuals', 'output', 'genome_diversity', 'Specify Individuals', 'output', 'genome_diversity', 'Specify Individuals', 'output', 'genome_diversity', 'Per-SNP FSTs', 'output', 'genome_diversity', 'Overall FST', 'output', 'genome_diversity', 'Per-SNP FSTs', 'output', 'genome_diversity', 'Overall FST', 'output', 'genome_diversity', 'Histogram', 'out_file1', 'histogram', 'Histogram', 'out_file1', 'histogram']","['genome_diversity', 'specify', 'individuals', 'aye', 'snps', 'fst', 'snp', 'per', 'overall', 'filter']",0,genome_diversity specify individuals aye snps fst snp per overall filter,"[294, 623, 731]","[[], ['aye-aye', 'GigaScience', 'Miller', 'Galaxy', 'tools', 'tutorial', 'to', 'study', 'genome', 'diverstiy', 'phylogenetic', 'tree', 'snp', 'coverage', 'PCA'], []]",0.8902151,"['genome_diversity', 'specify', 'individuals', 'aye', 'snps', 'fst', 'snp', 'per', 'overall', 'filter']",0,genome_diversity specify individuals aye snps fst snp per overall filter,"[731, 741, 236, 520]","[[], [], [], []]",0.87896717,"['genome_diversity', 'specify', 'individuals', 'aye', 'snps', 'fst', 'snp', 'per', 'overall', 'filter']",0,genome_diversity specify individuals aye snps fst snp per overall filter,"[623, 731, 1009, 882, 167]","[['aye-aye', 'GigaScience', 'Miller', 'Galaxy', 'tools', 'tutorial', 'to', 'study', 'genome', 'diverstiy', 'phylogenetic', 'tree', 'snp', 'coverage', 'PCA'], [], [], [], []]",0.88023835,"['genome_diversity', 'specify', 'individuals', 'aye', 'snps', 'fst', 'snp', 'per', 'overall', 'filter']",0,genome_diversity specify individuals aye snps fst snp per overall filter,"[234, 294, 145, 731, 621, 143]","[['COVID-19', 'ARTIC', 'ONT', 'covid19.galaxyproject.org'], [], [], [], [], []]",0.88470787,"['genome_diversity', 'output', 'aye', 'snps', 'histogram', 'fst', 'snp', 'per', 'overall', 'out_file1']",0,genome_diversity output aye snps histogram fst snp per overall out_file1,"[731, 874, 236, 892, 623, 52, 212]","[[], [], [], [], ['aye-aye', 'GigaScience', 'Miller', 'Galaxy', 'tools', 'tutorial', 'to', 'study', 'genome', 'diverstiy', 'phylogenetic', 'tree', 'snp', 'coverage', 'PCA'], [], []]",0.8986124,"['genome_diversity', 'specify', 'individuals', 'aye', 'snps', 'fst', 'snp', 'per', 'overall', 'filter']",0,genome_diversity specify individuals aye snps fst snp per overall filter,"[294, 731, 621, 143, 183, 95, 729, 300]","[[], [], [], [], [], [], [], []]",0.878935
5,ab23c641cfdefe0c.json,[],"['Test workflow 1', 'Input dataset', 'FASTQ Summary Statistics', 'output_file', 'fastq_stats', 'Map with Bowtie for Illumina', 'output', 'mapping_stats', 'bowtie_wrappers', 'solid_qual_boxplot', 'Boxplot', 'output_file', 'SAM-to-BAM', 'output1', 'sam_to_bam']","['with', 'output1', 'map', 'input', 'illumina', 'for', 'dataset', 'boxplot', 'bowtie', '']",-1,with output1 map input illumina for dataset boxplot bowtie ,"[360, 26, 329]","[[], [], []]",0.91330147,"['input', 'dataset', 'boxplot', 'output_file', '', '', '', '', '', '']",-1,input dataset boxplot output_file      ,"[267, 285, 774, 705]","[[], [], ['aptamer', 'SELEX'], []]",0.945658,"['sam_to_bam', 'mapping_stats', 'input', 'dataset', 'boxplot', '', '', '', '', '']",-1,sam_to_bam mapping_stats input dataset boxplot     ,"[939, 645, 129, 852, 568]","[['rnaseq', 'tophat2', 'fastq', 'protein_interaction', 'miRNA_target_prediction', 'network_construction', 'de_genes', 'splice_variants'], [], [], [], []]",0.92200994,"['sam_to_bam', 'bowtie_wrappers', '', '', '', '', '', '', '', '']",-1,sam_to_bam bowtie_wrappers        ,"[940, 239, 987, 343, 541, 580]","[[], [], [], [], ['BAM'], []]",0.8047316,"['output_file', 'input', 'map', 'with', 'to', 'test', 'summary', 'statistics', 'solid_qual_boxplot', 'sam_to_bam']",-1,output_file input map with to test summary statistics solid_qual_boxplot sam_to_bam,"[268, 990, 568, 22, 43, 253, 243]","[[], ['variant', 'calling'], [], [], ['COVID-19', 'ARTIC', 'iwc'], [], []]",0.91744,"['with', 'mapping_stats', 'map', 'illumina', 'for', 'bowtie_wrappers', 'bowtie', '', '', '']",-1,with mapping_stats map illumina for bowtie_wrappers bowtie   ,"[67, 932, 129, 465, 383, 959, 252, 363]","[[], ['COVID-19', 'ARTIC', 'covid19.galaxyproject.org'], [], [], [], ['COVID-19', 'ARTIC', 'ONT', 'covid19.galaxyproject.org'], [], ['COVID-19', 'ARTIC', 'covid19.galaxyproject.org']]",0.880926
6,c4ff30a7e517e953.json,[],['Chip-Seq workflow'],['Chip-Seq workflow'],,Chip-Seq workflow,"[302, 369, 767]","[[], ['sequence-analysis'], []]",0.7985777,['Chip-Seq workflow'],,Chip-Seq workflow,"[376, 360, 302, 369]","[[], [], [], ['sequence-analysis']]",0.807236,['Chip-Seq workflow'],,Chip-Seq workflow,"[311, 555, 589, 557, 369]","[[], [], [], [], ['sequence-analysis']]",0.8036928,['Chip-Seq workflow'],,Chip-Seq workflow,"[926, 302, 589, 369, 955, 682]","[[], [], [], ['sequence-analysis'], [], []]",0.8117997,['Chip-Seq workflow'],,Chip-Seq workflow,"[376, 891, 277, 589, 61, 369, 898]","[[], [], [], [], [], ['sequence-analysis'], []]",0.80284595,['Chip-Seq workflow'],,Chip-Seq workflow,"[360, 851, 589, 369, 123, 314, 287, 197]","[[], [], [], ['sequence-analysis'], ['ChIP'], ['ChIP-seq', 'bowtie', 'Mapping'], [], ['Workflow', 'test']]",0.7937726
7,399b4543d26990f2.json,[],"['Coursera3', 'Input Dataset', 'Input dataset', 'Input Dataset', 'Input dataset', 'Input Dataset', 'Input dataset', 'Input Dataset', 'Input dataset', 'Input Dataset', 'Input dataset', 'Input Dataset', 'Input dataset', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'library', 'library', 'Bowtie2', 'output', 'bowtie2', 'library', 'library', 'Bowtie2', 'output', 'bowtie2', 'library', 'library', 'Bowtie2', 'output', 'bowtie2', 'inputFile', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'inputFile', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'inputFile', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'inputFile', 'MergeSamFiles', 'outFile', 'picard', 'FreeBayes', 'output_vcf', 'freebayes', 'input1', 'VCFfilter:', 'out_file1', 'vcffilter', 'input', 'ANNOVAR Annotate VCF', 'output', 'table_annovar', 'input1', 'VCFfilter:', 'out_file1', 'vcffilter', 'input1', 'VCFfilter:', 'out_file1', 'vcffilter', 'input1', 'VCFfilter:', 'out_file1', 'vcffilter', 'input1', 'VCFfilter:', 'out_file1', 'vcffilter', 'input1', 'Group', 'out_file1', 'input', 'Sort', 'out_file1', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool AddOrReplaceReadGroups', 'runtime parameter for tool AddOrReplaceReadGroups', 'runtime parameter for tool AddOrReplaceReadGroups', 'runtime parameter for tool MergeSamFiles', 'runtime parameter for tool VCFfilter:', 'runtime parameter for tool ANNOVAR Annotate VCF', 'runtime parameter for tool VCFfilter:', 'runtime parameter for tool VCFfilter:', 'runtime parameter for tool VCFfilter:', 'runtime parameter for tool VCFfilter:', 'runtime parameter for tool Group', 'runtime parameter for tool Sort']","['mergesamfiles', 'outfile', '', '', '', '', '', '', '', '']",-1,mergesamfiles outfile        ,"[806, 705, 257]","[[], [], []]",0.82612246,"['input', 'dataset', 'out_file1', 'output_file', 'library', 'input_file', 'input1', 'bowtie2', 'output', 'outfile']",0,input dataset out_file1 output_file library input_file input1 bowtie2 output outfile,"[538, 842, 724, 400]","[[], [], [], []]",0.9712833,"['dataset', 'input', '', '', '', '', '', '', '', '']",-1,dataset input        ,"[998, 764, 373, 862, 414]","[[], [], [], [], []]",0.9447638,"['input', 'dataset', 'out_file1', 'output_file', 'input1', 'library', 'input_file', 'bowtie2', 'picard', 'output']",0,input dataset out_file1 output_file input1 library input_file bowtie2 picard output,"[842, 724, 35, 896, 835, 69]","[[], [], [], [], [], ['Assingment']]",0.9502724,"['input', 'dataset', 'out_file1', 'output_file', 'input1', 'library', 'input_file', 'bowtie2', 'picard', 'output']",0,input dataset out_file1 output_file input1 library input_file bowtie2 picard output,"[538, 979, 780, 831, 22, 208, 724]","[[], [], [], [], [], [], []]",0.9561865,"['input', 'dataset', 'out_file1', 'output_file', 'library', 'input_file', 'input1', 'bowtie2', 'picard', 'output']",0,input dataset out_file1 output_file library input_file input1 bowtie2 picard output,"[538, 979, 61, 724, 22, 35, 896, 136]","[[], [], [], [], [], [], [], []]",0.9518761
8,f3c8093c5b8a7233.json,['RNAseq'],"['Lucille Delisle', 'RNAseq_PE (release v0.1)', 'PE fastq input', 'Input dataset collection', 'forward_adapter', 'Input parameter', 'reverse_adapter', 'Input parameter', 'reference_genome', 'Input parameter', 'gtf', 'Input dataset', 'strandness', 'Input parameter', 'gtf with regions to exclude from FPKM normalization', 'Input dataset', 'Cutadapt', 'out_pairs', 'report', 'cutadapt', 'Compose text parameter value', 'out1', 'compose_text_param', 'Map parameter value', 'output_param_text', 'map_param_value', 'Map parameter value', 'output_param_text', 'map_param_value', 'Map parameter value', 'output_param_text', 'map_param_value', 'Map parameter value', 'output_param_text', 'map_param_value', 'RNA STAR', 'output_log', 'splice_junctions', 'mapped_reads', 'reads_per_gene', 'rgrnastar', 'MultiQC', 'stats', 'plots', 'html_report', 'multiqc', 'Text reformatting', 'outfile', 'text_processing', 'Filter', 'out_file2', 'out_file1', 'bamtools_filter', 'Text reformatting', 'outfile', 'text_processing', 'Cufflinks', 'genes_expression', 'transcripts_expression', 'assembled_isoforms', 'total_map_mass', 'skipped', 'cufflinks', 'input', 'revertR2orientationInBam', 'output', 'revertr2orientationinbam', 'Parse parameter value', 'float_param', 'bedtools Genome Coverage', 'output', 'bedtools', 'bedtools Genome Coverage', 'output', 'bedtools', 'bedtools Genome Coverage', 'output', 'bedtools', 'Wig/BedGraph-to-bigWig', 'out_file1', 'Wig/BedGraph-to-bigWig', 'out_file1', 'Wig/BedGraph-to-bigWig', 'out_file1', 'RNAseq', 'runtime parameter for tool revertR2orientationInBam', 'PE fastq input', 'forward_adapter', 'reverse_adapter', 'reference_genome', 'gtf', 'strandness', 'gtf with regions to exclude from FPKM normalization', 'Cutadapt (remove adapter + bad quality bases)', 'get reference_genome as text parameter', 'awk command from strand', 'bedtools orientation for forward coverage', 'bedtools orientation for reverse coverage', 'Get cufflinks strandess parameter', 'STAR: map and count', 'output_log', 'reads_per_gene from STAR', 'mapped-reads', 'MultiQC', 'MultiQC on input dataset(s): Stats', 'MultiQC webpage', 'Extract gene counts', 'HTS count like output', 'Keep only uniquely mapped reads', 'get scaling factor', 'Compute FPKM', 'transcripts_expression', 'genes_expression', 'convert dataset to parameter', 'Scaled Coverage both strands combined', 'Scaled Coverage positive', 'Scaled Coverage negative', 'convert both strands coverage to bigwig', 'both strands coverage', 'convert positive coverage to bigwig', 'positive strand coverage', 'convert negative coverage to bigwig', 'negative strand coverage']","['coverage', 'positive', 'convert', 'bigwig', 'orientation', 'to', 'for', 'scaled', 'negative', 'bedtools']",-1,coverage positive convert bigwig orientation to for scaled negative bedtools,"[265, 378, 307]","[['RNAseq'], [], []]",0.813699,"['orientation', 'for', 'bedtools', 'splice_junctions', 'skipped', 'reverse', 'parse', 'forward', 'filter', 'coverage']",-1,orientation for bedtools splice_junctions skipped reverse parse forward filter coverage,"[271, 179, 951, 490]","[['RNAseq'], ['RNAseq'], [], []]",0.8965682,"['skipped', 'out_pairs', 'forward', 'filter', 'splice_junctions', 'reverse_adapter', 'outfile', 'orientation', 'forward_adapter', 'for']",-1,skipped out_pairs forward filter splice_junctions reverse_adapter outfile orientation forward_adapter for,"[663, 110, 612, 93, 134]","[[], ['assembly', 'pe', 'unicycler', 'wgs'], [], ['RNAseq'], []]",0.8811035,"['forward_adapter', 'skipped', 'scaling', 'plots', 'splice_junctions', 'filter', 'factor', 'get', '', '']",-1,forward_adapter skipped scaling plots splice_junctions filter factor get  ,"[179, 870, 184, 915, 278, 981]","[['RNAseq'], [], [], [], [], []]",0.8864816,"['convert', 'coverage', 'bigwig', 'to', 'compose', 'splice_junctions', 'skipped', 'forward', 'filter', 'orientation']",-1,convert coverage bigwig to compose splice_junctions skipped forward filter orientation,"[93, 647, 271, 853, 772, 116, 179]","[['RNAseq'], [], ['RNAseq'], [], [], [], ['RNAseq']]",0.8966823,"['orientation', 'for', 'bedtools', 'skipped', 'reverse', 'forward', 'filter', 'splice_junctions', 'coverage', '']",-1,orientation for bedtools skipped reverse forward filter splice_junctions coverage ,"[271, 179, 870, 687, 610, 634, 565, 97]","[['RNAseq'], ['RNAseq'], [], [], [], [], [], []]",0.8950661
9,9a1fb6ecff886358.json,[],"['Unnamed workflow', 'Input dataset collection', 'Input dataset', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Trimmer', 'output_file', 'fastq_trimmer', 'library', 'Pear', 'assembled_reads', 'pear', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input', 'Remove sequencing artifacts', 'output', 'fastx_artifacts_filter', 'input', 'Remove sequencing artifacts', 'output', 'fastx_artifacts_filter', 'input', 'Remove sequencing artifacts', 'output', 'fastx_artifacts_filter', 'input', 'Filter by quality', 'output', 'fastq_quality_filter', 'input', 'Filter by quality', 'output', 'fastq_quality_filter', 'input', 'Filter by quality', 'output', 'fastq_quality_filter', 'input', 'FASTQ to FASTA', 'output', 'fastq_to_fasta', 'FastQC', 'html_file', 'text_file', 'fastqc', 'input', 'FASTQ to FASTA', 'output', 'fastq_to_fasta', 'FastQC', 'html_file', 'text_file', 'fastqc', 'input', 'FASTQ to FASTA', 'output', 'fastq_to_fasta', 'FastQC', 'html_file', 'text_file', 'fastqc', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Trimmer', 'runtime parameter for tool Pear', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool Remove sequencing artifacts', 'runtime parameter for tool Remove sequencing artifacts', 'runtime parameter for tool Remove sequencing artifacts', 'runtime parameter for tool Filter by quality', 'runtime parameter for tool Filter by quality', 'runtime parameter for tool Filter by quality', 'runtime parameter for tool FASTQ to FASTA', 'runtime parameter for tool FASTQ to FASTA', 'runtime parameter for tool FASTQ to FASTA']","['fastq', 'runtime', 'tool', 'parameter', 'for', 'groomer', 'filter', 'remove', 'quality', 'artifacts']",0,fastq runtime tool parameter for groomer filter remove quality artifacts,"[698, 824, 529]","[[], [], []]",0.93748695,"['fastq', 'runtime', 'tool', 'parameter', 'for', 'groomer', 'filter', 'remove', 'quality', 'artifacts']",0,fastq runtime tool parameter for groomer filter remove quality artifacts,"[176, 529, 885, 12]","[['aptamer', 'SELEX'], [], [], []]",0.92920995,"['fastq', 'runtime', 'tool', 'parameter', 'for', 'groomer', 'filter', 'remove', 'quality', 'artifacts']",0,fastq runtime tool parameter for groomer filter remove quality artifacts,"[824, 885, 632, 291, 52]","[[], [], [], [], []]",0.9227601,"['fastq', 'runtime', 'tool', 'parameter', 'for', 'groomer', 'filter', 'remove', 'quality', 'artifacts']",0,fastq runtime tool parameter for groomer filter remove quality artifacts,"[824, 743, 659, 176, 517, 790]","[[], [], [], ['aptamer', 'SELEX'], [], []]",0.921349,"['fastq', 'runtime', 'tool', 'parameter', 'for', 'groomer', 'filter', 'remove', 'quality', 'artifacts']",0,fastq runtime tool parameter for groomer filter remove quality artifacts,"[824, 632, 122, 879, 635, 134, 851]","[[], [], [], [], [], [], []]",0.9125621,"['pear', 'tool', 'runtime', 'parameter', 'for', '', '', '', '', '']",-1,pear tool runtime parameter for     ,"[826, 130, 589, 401, 851, 942, 930, 938]","[[], [], [], [], [], [], [], []]",0.93349725
