Timestamp,CPU,Memory,GPU,GPU_Memory
2024-06-03 07:01:21,2.8,18713.69140625,0.04,1097.0
2024-06-03 07:01:24,11.8,18892.125,0.03,1124.0
2024-06-03 07:01:27,22.0,18887.703125,0.04,1124.0
2024-06-03 07:01:29,18.8,18894.12109375,0.03,1121.0
2024-06-03 07:01:32,5.3,18847.8515625,0.19,1121.0
2024-06-03 07:01:35,23.2,18846.67578125,0.04,1121.0
2024-06-03 07:01:37,16.8,18853.01953125,0.03,1121.0
2024-06-03 07:01:40,7.0,18841.8984375,0.03,1121.0
2024-06-03 07:01:43,29.5,18836.2734375,0.03,1121.0
2024-06-03 07:01:45,18.6,18859.6796875,0.02,1121.0
2024-06-03 07:01:48,3.7,18828.28515625,0.62,1121.0
2024-06-03 07:01:51,28.0,18834.9296875,0.03,1121.0
2024-06-03 07:01:53,20.6,18795.953125,0.03,1121.0
2024-06-03 07:01:56,5.2,18803.55859375,0.04,1121.0
2024-06-03 07:01:59,17.9,18788.859375,0.03,1121.0
2024-06-03 07:02:01,13.7,18788.82421875,0.03,1121.0
2024-06-03 07:02:04,17.4,18787.76171875,0.03,1121.0
2024-06-03 07:02:06,16.8,18798.3515625,0.04,1121.0
2024-06-03 07:02:09,10.9,18787.33203125,0.02,1123.0
2024-06-03 07:02:12,64.2,18815.11328125,0.04,1123.0
2024-06-03 07:02:14,15.6,18821.8828125,0.04,1123.0
2024-06-03 07:02:17,7.0,18799.0078125,0.04,1123.0
2024-06-03 07:02:20,18.7,18803.75390625,0.04,1123.0
2024-06-03 07:02:22,14.0,18807.5,0.03,1123.0
2024-06-03 07:02:25,19.2,18812.5234375,0.03,1123.0
2024-06-03 07:02:28,16.7,18814.109375,0.04,1123.0
2024-06-03 07:02:30,10.6,18754.20703125,0.03,1123.0
2024-06-03 07:02:33,16.9,18748.37890625,0.03,1123.0
2024-06-03 07:02:36,16.9,18763.5234375,0.03,1123.0
2024-06-03 07:02:38,8.2,18764.62109375,0.03,1123.0
2024-06-03 07:02:41,37.1,18757.91796875,0.03,1123.0
2024-06-03 07:02:44,17.4,18752.1875,0.03,1123.0
2024-06-03 07:02:46,3.4,18758.53125,0.25,1123.0
2024-06-03 07:02:49,35.8,18763.0703125,0.03,1123.0
2024-06-03 07:02:52,14.8,18768.02734375,0.03,1123.0
2024-06-03 07:02:54,27.7,18759.30859375,0.04,1123.0
2024-06-03 07:02:57,17.1,18754.81640625,0.03,1123.0
2024-06-03 07:03:00,13.0,18751.6484375,0.03,1123.0
2024-06-03 07:03:02,28.5,18741.9765625,0.04,1123.0
2024-06-03 07:03:05,17.1,18749.07421875,0.03,1123.0
2024-06-03 07:03:08,8.3,18758.546875,0.04,1123.0
2024-06-03 07:03:10,24.6,18753.12109375,0.04,1123.0
2024-06-03 07:03:13,17.1,18754.3984375,0.02,1123.0
2024-06-03 07:03:16,3.5,18742.8359375,0.28,1123.0
2024-06-03 07:03:18,42.8,18781.5078125,0.04,1123.0
2024-06-03 07:03:21,15.5,18754.33984375,0.03,1123.0
2024-06-03 07:03:24,13.9,18756.859375,0.04,1123.0
2024-06-03 07:03:26,22.8,18754.91015625,0.03,1123.0
2024-06-03 07:03:29,23.3,18759.3125,0.03,1123.0
2024-06-03 07:03:32,4.7,18762.48046875,0.04,1123.0
2024-06-03 07:03:34,24.1,18754.75,0.04,1123.0
2024-06-03 07:03:37,16.9,18758.24609375,0.03,1123.0
2024-06-03 07:03:40,14.1,18763.51953125,0.03,1123.0
2024-06-03 07:03:42,16.8,18741.58203125,0.04,1123.0
