,index,Tags,text,top9_topic_scibert,top9_topic,top9_topic_scibert_str,top9_descricao,top9_tags_descricao,mean_similarity_top9_descricao,top10_topic_scibert,top10_topic,top10_topic_scibert_str,top10_descricao,top10_tags_descricao,mean_similarity_top10_descricao
0,0c86c39dcd9e08c6.json,[],['Project_CP'],['Project_CP'],,Project_CP,"[536, 338, 852, 451, 627, 331, 689, 918, 193]","[[], [], [], [], [], ['name:test'], [], [], ['NCBI', 'SRA', 'FPKM']]",0.84744626,['Project_CP'],,Project_CP,"[535, 401, 788, 868, 861, 836, 156, 331, 11, 922]","[[], [], [], [], ['biostar'], [], [], ['name:test'], ['CUTnRUN'], []]",0.8460225
1,692a2b0bb818336d.json,[],"[""Workflow constructed from history 'K22063917 Assignment attempt FINAL - using wANNOVAR'"", 'annotation.bed', 'Input dataset', 'NGS0001.R1.fastq.qz', 'Input dataset', 'NGS0001.R2.fastq.qz', 'Input dataset', 'query.output.exome_summary 5th attempt.txt', 'Input dataset', 'FastQC', 'html_file', 'text_file', 'fastqc', 'FastQC', 'html_file', 'text_file', 'fastqc', 'Trimmomatic', 'fastq_out_r1_paired', 'fastq_out_r2_paired', 'fastq_out_r1_unpaired', 'fastq_out_r2_unpaired', 'trimmomatic', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'Filter', 'out_file1', 'FastQC', 'html_file', 'text_file', 'fastqc', 'FastQC', 'html_file', 'text_file', 'fastqc', 'Map with BWA-MEM', 'bam_output', 'bwa', 'MarkDuplicates', 'metrics_file', 'outFile', 'picard', 'Filter SAM or BAM, output SAM or BAM', 'output1', 'samtool_filter2', 'Flagstat', 'output1', 'samtools_flagstat', 'Flagstat', 'output1', 'samtools_flagstat', 'BAM-to-SAM', 'output1', 'bam_to_sam', 'IdxStats', 'output', 'samtools_idxstats', 'CollectInsertSizeMetrics', 'outFile', 'histFile', 'picard', 'Compute both the depth and breadth of coverage', 'output', 'bedtools', 'FreeBayes', 'output_vcf', 'freebayes', 'Sort', 'out_file1', 'VCFfilter:', 'out_file1', 'vcffilter', 'VCFfilter:', 'out_file1', 'vcffilter', 'VCFfilter:', 'out_file1', 'vcffilter', 'bcftools stats', 'output_file', 'bcftools_stats', 'Summary Statistics', 'out_file1', 'annotation.bed', 'NGS0001.R1.fastq.qz', 'NGS0001.R2.fastq.qz', 'query.output.exome_summary 5th attempt.txt']","['the', 'summary', 'statistics', 'output_vcf', 'of', 'idxstats', 'depth', 'coverage', 'compute', 'breadth']",-1,the summary statistics output_vcf of idxstats depth coverage compute breadth,"[742, 29, 352, 860, 368, 306, 883, 31, 511]","[[], [], [], [], [], [], [], [], []]",0.90488774,"['the', 'samtool_filter2', 'output_vcf', 'of', 'idxstats', 'depth', 'coverage', 'compute', 'breadth', 'both']",-1,the samtool_filter2 output_vcf of idxstats depth coverage compute breadth both,"[543, 948, 368, 574, 610, 131, 903, 742, 371, 86]","[[], [], [], [], [], [], [], [], [], []]",0.924199
2,3680984663c813e1.json,[],"['dhfr', 'Bowtie2', 'output', 'bowtie2', 'MPileup', 'output_mpileup', 'output_log', 'samtools_mpileup']","['dhfr', 'Bowtie2', 'output', 'bowtie2', 'MPileup', 'output_mpileup', 'output_log', 'samtools_mpileup']",,dhfr Bowtie2 output bowtie2 MPileup output_mpileup output_log samtools_mpileup,"[303, 257, 482, 570, 668, 580, 875, 166, 641]","[[], [], [], [], [], [], [], ['ATAC', 'hg19'], []]",0.8554893,"['dhfr', 'Bowtie2', 'output', 'bowtie2', 'MPileup', 'output_mpileup', 'output_log', 'samtools_mpileup']",,dhfr Bowtie2 output bowtie2 MPileup output_mpileup output_log samtools_mpileup,"[570, 238, 482, 266, 471, 668, 875, 303, 629, 305]","[[], [], [], [], [], [], [], [], [], []]",0.8567332
3,49f8b32c3206f76c.json,"['variant', 'snps', 'human']","[""Workflow for Genomic Data Science with Galaxy 'peer-reviewed project'"", 'Daughter R2 fastq', 'Input dataset', 'Daughter R1 fastq', 'Input dataset', 'Mother R2 fastq', 'Input dataset', 'Mother R1 fastq', 'Input dataset', 'Father R2 fastq', 'Input dataset', 'Father R1 fastq', 'Input dataset', 'FastQC', 'html_file', 'text_file', 'fastqc', 'FastQC', 'html_file', 'text_file', 'fastqc', 'Map with BWA-MEM', 'bam_output', 'bwa', 'FastQC', 'html_file', 'text_file', 'fastqc', 'Map with BWA', 'bam_output', 'bwa', 'FastQC', 'html_file', 'text_file', 'fastqc', 'FastQC', 'html_file', 'text_file', 'fastqc', 'Map with BWA-MEM', 'bam_output', 'bwa', 'FastQC', 'html_file', 'text_file', 'fastqc', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'toolshed.g2.bx.psu.edu/repos/devteam/sam_merge/sam_merge2/1.2.0', 'Filter', 'out_file2', 'out_file1', 'bamtools_filter', 'MarkDuplicates', 'metrics_file', 'outFile', 'picard', 'CleanSam', 'outFile', 'picard', 'FreeBayes', 'output_vcf', 'freebayes', 'VCFfilter:', 'out_file1', 'vcffilter', 'ANNOVAR Annotate VCF', 'output', 'table_annovar', 'Remove beginning', 'out_file1', 'Group', 'out_file1', 'Sort', 'out_file1', 'variant', 'snps', 'human', 'Daughter R2 fastq', 'Daughter R1 fastq', 'Mother R2 fastq', 'Mother R1 fastq', 'Father R2 fastq', 'Father R1 fastq', 'filter SNPs']","['mother', 'r1', 'bx', 'devteam', 'toolshed', 'vcf', 'sam_merge2', 'sam_merge', 'repos', 'psu']",-1,mother r1 bx devteam toolshed vcf sam_merge2 sam_merge repos psu,"[842, 979, 787, 66, 817, 344, 1006, 821, 64]","[[], [], [], [], ['ChIP'], [], [], ['ChIP'], []]",0.8796752,"['mother', 'r1', 'devteam', 'edu', 'table_annovar', 'toolshed', 'sam_merge2', 'sam_merge', 'repos', 'psu']",-1,mother r1 devteam edu table_annovar toolshed sam_merge2 sam_merge repos psu,"[787, 753, 627, 496, 926, 808, 425, 1011, 375, 979]","[[], [], [], [], [], [], [], [], [], []]",0.868848
4,25adc55d2a26e34b.json,[],"['GigaScience Example 1B -- aye-aye FST (imported from uploaded file)', 'aye-aye SNPs', 'Input dataset', 'human SNPs, like aye-aye', 'Input dataset', 'Specify Individuals', 'output', 'genome_diversity', 'Specify Individuals', 'output', 'genome_diversity', 'Filter SNPs', 'output', 'genome_diversity', 'Filter SNPs', 'output', 'genome_diversity', 'Specify Individuals', 'output', 'genome_diversity', 'Specify Individuals', 'output', 'genome_diversity', 'Specify Individuals', 'output', 'genome_diversity', 'Specify Individuals', 'output', 'genome_diversity', 'Per-SNP FSTs', 'output', 'genome_diversity', 'Overall FST', 'output', 'genome_diversity', 'Per-SNP FSTs', 'output', 'genome_diversity', 'Overall FST', 'output', 'genome_diversity', 'Histogram', 'out_file1', 'histogram', 'Histogram', 'out_file1', 'histogram']","['genome_diversity', 'specify', 'individuals', 'aye', 'snps', 'fst', 'snp', 'per', 'overall', 'filter']",0,genome_diversity specify individuals aye snps fst snp per overall filter,"[966, 623, 457, 326, 1008, 183, 914, 155, 926]","[[], ['aye-aye', 'GigaScience', 'Miller', 'Galaxy', 'tools', 'tutorial', 'to', 'study', 'genome', 'diverstiy', 'phylogenetic', 'tree', 'snp', 'coverage', 'PCA'], [], [], [], [], ['ATACseq'], ['COVID-19', 'covid19.galaxyproject.org'], []]",0.85125726,"['genome_diversity', 'output', 'aye', 'snps', 'histogram', 'fst', 'snp', 'per', 'overall', 'out_file1']",0,genome_diversity output aye snps histogram fst snp per overall out_file1,"[294, 816, 807, 66, 220, 243, 772, 747, 61, 104]","[[], [], ['Convert', 'Map', 'FAIRE'], [], ['ATACseq'], [], [], [], [], []]",0.8819625
5,ab23c641cfdefe0c.json,[],"['Test workflow 1', 'Input dataset', 'FASTQ Summary Statistics', 'output_file', 'fastq_stats', 'Map with Bowtie for Illumina', 'output', 'mapping_stats', 'bowtie_wrappers', 'solid_qual_boxplot', 'Boxplot', 'output_file', 'SAM-to-BAM', 'output1', 'sam_to_bam']","['workflow', 'test', 'sam_to_bam', '', '', '', '', '', '', '']",-1,workflow test sam_to_bam       ,"[680, 279, 360, 640, 568, 111, 968, 55, 800]","[[], [], [], [], [], [], [], ['COVID-19', 'covid19.galaxyproject.org', 'iwc', 'emergen_validated'], []]",0.8739779,"['workflow', 'test', 'summary', 'statistics', 'input', 'fastq', 'dataset', 'boxplot', '', '']",-1,workflow test summary statistics input fastq dataset boxplot  ,"[567, 582, 633, 410, 879, 653, 754, 28, 294, 355]","[['metatranscriptomics', 'Kraken', 'RNA-seq', 'microbiome'], [], [], [], [], [], [], [], [], []]",0.87956727
6,c4ff30a7e517e953.json,[],['Chip-Seq workflow'],['Chip-Seq workflow'],,Chip-Seq workflow,"[594, 65, 129, 314, 199, 293, 439, 777, 567]","[['COVID-19', 'covid19.galaxyproject.org'], [], [], ['ChIP-seq', 'bowtie', 'Mapping'], [], [], ['metagenomics', 'galaxy', 'NGS', 'Metagenomics'], ['ChIP'], ['metatranscriptomics', 'Kraken', 'RNA-seq', 'microbiome']]",0.7624438,['Chip-Seq workflow'],,Chip-Seq workflow,"[671, 946, 982, 849, 92, 693, 475, 763, 761, 774]","[[], ['ChIP', 'ChIP-Seq', 'ChIPSeq'], ['Easy'], [], [], [], ['ATACseq'], [], [], ['aptamer', 'SELEX']]",0.76245695
7,399b4543d26990f2.json,[],"['Coursera3', 'Input Dataset', 'Input dataset', 'Input Dataset', 'Input dataset', 'Input Dataset', 'Input dataset', 'Input Dataset', 'Input dataset', 'Input Dataset', 'Input dataset', 'Input Dataset', 'Input dataset', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'library', 'library', 'Bowtie2', 'output', 'bowtie2', 'library', 'library', 'Bowtie2', 'output', 'bowtie2', 'library', 'library', 'Bowtie2', 'output', 'bowtie2', 'inputFile', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'inputFile', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'inputFile', 'AddOrReplaceReadGroups', 'outFile', 'picard', 'inputFile', 'MergeSamFiles', 'outFile', 'picard', 'FreeBayes', 'output_vcf', 'freebayes', 'input1', 'VCFfilter:', 'out_file1', 'vcffilter', 'input', 'ANNOVAR Annotate VCF', 'output', 'table_annovar', 'input1', 'VCFfilter:', 'out_file1', 'vcffilter', 'input1', 'VCFfilter:', 'out_file1', 'vcffilter', 'input1', 'VCFfilter:', 'out_file1', 'vcffilter', 'input1', 'VCFfilter:', 'out_file1', 'vcffilter', 'input1', 'Group', 'out_file1', 'input', 'Sort', 'out_file1', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool Bowtie2', 'runtime parameter for tool AddOrReplaceReadGroups', 'runtime parameter for tool AddOrReplaceReadGroups', 'runtime parameter for tool AddOrReplaceReadGroups', 'runtime parameter for tool MergeSamFiles', 'runtime parameter for tool VCFfilter:', 'runtime parameter for tool ANNOVAR Annotate VCF', 'runtime parameter for tool VCFfilter:', 'runtime parameter for tool VCFfilter:', 'runtime parameter for tool VCFfilter:', 'runtime parameter for tool VCFfilter:', 'runtime parameter for tool Group', 'runtime parameter for tool Sort']","['table_annovar', 'output', 'input1', 'input', '', '', '', '', '', '']",-1,table_annovar output input1 input      ,"[617, 223, 635, 805, 938, 428, 615, 34, 728]","[[], [], [], ['snp', 'ngs', 'pileup', 'bowtie'], [], [], [], [], []]",0.88954586,"['input', 'dataset', 'out_file1', 'output_file', 'library', 'input_file', 'input1', 'bowtie2', 'picard', 'output']",0,input dataset out_file1 output_file library input_file input1 bowtie2 picard output,"[668, 896, 63, 538, 842, 294, 440, 494, 653, 237]","[[], [], [], [], [], [], [], [], [], []]",0.90612155
8,f3c8093c5b8a7233.json,['RNAseq'],"['Lucille Delisle', 'RNAseq_PE (release v0.1)', 'PE fastq input', 'Input dataset collection', 'forward_adapter', 'Input parameter', 'reverse_adapter', 'Input parameter', 'reference_genome', 'Input parameter', 'gtf', 'Input dataset', 'strandness', 'Input parameter', 'gtf with regions to exclude from FPKM normalization', 'Input dataset', 'Cutadapt', 'out_pairs', 'report', 'cutadapt', 'Compose text parameter value', 'out1', 'compose_text_param', 'Map parameter value', 'output_param_text', 'map_param_value', 'Map parameter value', 'output_param_text', 'map_param_value', 'Map parameter value', 'output_param_text', 'map_param_value', 'Map parameter value', 'output_param_text', 'map_param_value', 'RNA STAR', 'output_log', 'splice_junctions', 'mapped_reads', 'reads_per_gene', 'rgrnastar', 'MultiQC', 'stats', 'plots', 'html_report', 'multiqc', 'Text reformatting', 'outfile', 'text_processing', 'Filter', 'out_file2', 'out_file1', 'bamtools_filter', 'Text reformatting', 'outfile', 'text_processing', 'Cufflinks', 'genes_expression', 'transcripts_expression', 'assembled_isoforms', 'total_map_mass', 'skipped', 'cufflinks', 'input', 'revertR2orientationInBam', 'output', 'revertr2orientationinbam', 'Parse parameter value', 'float_param', 'bedtools Genome Coverage', 'output', 'bedtools', 'bedtools Genome Coverage', 'output', 'bedtools', 'bedtools Genome Coverage', 'output', 'bedtools', 'Wig/BedGraph-to-bigWig', 'out_file1', 'Wig/BedGraph-to-bigWig', 'out_file1', 'Wig/BedGraph-to-bigWig', 'out_file1', 'RNAseq', 'runtime parameter for tool revertR2orientationInBam', 'PE fastq input', 'forward_adapter', 'reverse_adapter', 'reference_genome', 'gtf', 'strandness', 'gtf with regions to exclude from FPKM normalization', 'Cutadapt (remove adapter + bad quality bases)', 'get reference_genome as text parameter', 'awk command from strand', 'bedtools orientation for forward coverage', 'bedtools orientation for reverse coverage', 'Get cufflinks strandess parameter', 'STAR: map and count', 'output_log', 'reads_per_gene from STAR', 'mapped-reads', 'MultiQC', 'MultiQC on input dataset(s): Stats', 'MultiQC webpage', 'Extract gene counts', 'HTS count like output', 'Keep only uniquely mapped reads', 'get scaling factor', 'Compute FPKM', 'transcripts_expression', 'genes_expression', 'convert dataset to parameter', 'Scaled Coverage both strands combined', 'Scaled Coverage positive', 'Scaled Coverage negative', 'convert both strands coverage to bigwig', 'both strands coverage', 'convert positive coverage to bigwig', 'positive strand coverage', 'convert negative coverage to bigwig', 'negative strand coverage']","['factor', 'filter', 'splice_junctions', 'skipped', 'scaling', 'report', 'html_report', 'compose', 'stats', 'scaled']",-1,factor filter splice_junctions skipped scaling report html_report compose stats scaled,"[179, 100, 945, 265, 166, 97, 951, 1002, 858]","[['RNAseq'], ['RNAseq'], ['COVID-19', 'ARTIC', 'iwc'], ['RNAseq'], ['ATAC', 'hg19'], [], [], [], []]",0.86227745,"['value', 'factor', 'compose', 'forward', 'filter', 'splice_junctions', 'skipped', 'scaling', 'parse', 'coverage']",-1,value factor compose forward filter splice_junctions skipped scaling parse coverage,"[93, 100, 271, 981, 265, 389, 12, 783, 951, 939]","[['RNAseq'], ['RNAseq'], ['RNAseq'], [], ['RNAseq'], [], [], [], [], ['rnaseq', 'tophat2', 'fastq', 'protein_interaction', 'miRNA_target_prediction', 'network_construction', 'de_genes', 'splice_variants']]",0.8727598
9,9a1fb6ecff886358.json,[],"['Unnamed workflow', 'Input dataset collection', 'Input dataset', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Trimmer', 'output_file', 'fastq_trimmer', 'library', 'Pear', 'assembled_reads', 'pear', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input_file', 'FASTQ Groomer', 'output_file', 'fastq_groomer', 'input', 'Remove sequencing artifacts', 'output', 'fastx_artifacts_filter', 'input', 'Remove sequencing artifacts', 'output', 'fastx_artifacts_filter', 'input', 'Remove sequencing artifacts', 'output', 'fastx_artifacts_filter', 'input', 'Filter by quality', 'output', 'fastq_quality_filter', 'input', 'Filter by quality', 'output', 'fastq_quality_filter', 'input', 'Filter by quality', 'output', 'fastq_quality_filter', 'input', 'FASTQ to FASTA', 'output', 'fastq_to_fasta', 'FastQC', 'html_file', 'text_file', 'fastqc', 'input', 'FASTQ to FASTA', 'output', 'fastq_to_fasta', 'FastQC', 'html_file', 'text_file', 'fastqc', 'input', 'FASTQ to FASTA', 'output', 'fastq_to_fasta', 'FastQC', 'html_file', 'text_file', 'fastqc', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Trimmer', 'runtime parameter for tool Pear', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool FASTQ Groomer', 'runtime parameter for tool Remove sequencing artifacts', 'runtime parameter for tool Remove sequencing artifacts', 'runtime parameter for tool Remove sequencing artifacts', 'runtime parameter for tool Filter by quality', 'runtime parameter for tool Filter by quality', 'runtime parameter for tool Filter by quality', 'runtime parameter for tool FASTQ to FASTA', 'runtime parameter for tool FASTQ to FASTA', 'runtime parameter for tool FASTQ to FASTA']","['fastq', 'runtime', 'tool', 'parameter', 'for', 'groomer', 'filter', 'remove', 'quality', 'artifacts']",0,fastq runtime tool parameter for groomer filter remove quality artifacts,"[1007, 291, 885, 614, 134, 355, 299, 752, 122]","[[], [], [], [], [], [], [], [], []]",0.8904389,"['pear', '', '', '', '', '', '', '', '', '']",-1,pear         ,"[318, 899, 700, 698, 424, 738, 820, 180, 616, 438]","[[], ['asbmr2016'], ['asbmr2016'], [], [], [], [], [], ['intervals', 'bedtools', 'slop'], ['RNAseq', 'DE', 'Differential', 'expression', 'HISAT2', 'featureCounts', 'EdgeR', 'limmavoom', 'DESeq2', 'transcriptomics', 'mouse', 'multiple']]",0.8363865
